epochs,train_loss,train_cost,val_cost
0,0.088401616,8.216059685,7.25800705
1,1.024602652,7.038084984,6.825677395
2,-0.194636077,6.807832718,6.710647106
3,-0.232878298,6.718391418,6.673455238
4,-0.177684307,6.666927338,6.619039059
5,-0.208733499,6.628334999,6.578369617
6,-0.243361965,6.598049164,6.558857918
7,-0.225934833,6.577094555,6.541985989
8,-0.212686941,6.557659149,6.537447453
9,-0.192770466,6.545834541,6.520561695
10,-0.192003354,6.534309387,6.507365704
11,-0.19589664,6.52227354,6.495610237
12,-0.193949431,6.512768269,6.490856171
13,-0.178156003,6.504963875,6.484805107
14,-0.170936152,6.495146275,6.485887527
15,-0.147836268,6.488997459,6.476595402
16,-0.155291185,6.483885288,6.466748238
17,-0.154575005,6.479366779,6.465071678
18,-0.150854692,6.47202158,6.460596085
19,-0.137021676,6.467982292,6.44990015
20,-0.148655251,6.461426258,6.453382015
21,-0.130175322,6.455892563,6.442242622
22,-0.138807148,6.45195055,6.436854839
23,-0.140959516,6.448420525,6.437135696
24,-0.127598554,6.444563389,6.431726933
25,-0.132457361,6.440038204,6.427723408
26,-0.124166183,6.436783314,6.423385143
27,-0.134190559,6.4327178,6.424139023
28,-0.12527436,6.433057785,6.418417931
29,-0.117277712,6.427990437,6.412160397
30,-0.137493655,6.425553322,6.412348747
31,-0.127377227,6.422236919,6.413901806
32,-0.117817648,6.419310093,6.406290054
33,-0.122218139,6.417336941,6.403584957
34,-0.122495681,6.416392803,6.406949997
35,-0.11565543,6.412134171,6.409245014
36,-0.112388283,6.412064552,6.402864456
37,-0.116387233,6.408874035,6.397034645
38,-0.109725222,6.405678272,6.405506134
39,-0.098394834,6.406051636,6.412357807
40,-0.09455891,6.405794621,6.396068573
41,-0.107423648,6.40270853,6.397656441
42,-0.100044772,6.399020195,6.390851498
43,-0.095896348,6.39784956,6.391721725
44,-0.107965186,6.399214268,6.389933109
45,-0.100159518,6.395529747,6.392107964
46,-0.102282345,6.396805286,6.388502121
47,-0.096026361,6.395074368,6.390769958
48,-0.090018868,6.392795086,6.386547089
49,-0.104047887,6.390980721,6.384925365
50,-0.100394867,6.391443253,6.384105206
51,-0.09760268,6.387351036,6.391294956
52,-0.098209016,6.387506485,6.389029503
53,-0.096008658,6.386431217,6.379380703
54,-0.093250491,6.385383129,6.385756969
55,-0.083890364,6.384189606,6.381875992
56,-0.084057197,6.383686543,6.376427174
57,-0.099762939,6.383202553,6.385979652
58,-0.095530793,6.381612778,6.376755238
59,-0.091416858,6.380200386,6.375701427
60,-0.093689792,6.379840374,6.381251335
61,-0.091226555,6.379682064,6.377010345
62,-0.085190505,6.378685951,6.38215065
63,-0.08517199,6.378964424,6.369571686
64,-0.082054086,6.376159668,6.374024391
65,-0.079515748,6.376607418,6.370284081
66,-0.077809229,6.374649048,6.377658844
67,-0.07766927,6.37460947,6.379144669
68,-0.074855529,6.374153137,6.374368191
69,-0.074119315,6.375783443,6.372886658
70,-0.069250867,6.373531818,6.373641968
71,-0.07932543,6.371148109,6.369774818
72,-0.08161024,6.372358799,6.368401051
73,-0.080416672,6.371006012,6.374079704
74,-0.07703945,6.369829655,6.369700909
75,-0.078214712,6.368527889,6.368207932
76,-0.076622061,6.368104935,6.364142418
77,-0.075201631,6.367952347,6.363349915
78,-0.074700333,6.368035793,6.366676807
79,-0.074342288,6.367095947,6.360850334
80,-0.0853732,6.366317272,6.365693092
81,-0.084005766,6.365492344,6.361190796
82,-0.080806814,6.364127636,6.364367008
83,-0.081229687,6.365913868,6.357450962
84,-0.081835702,6.362413883,6.360756874
85,-0.083069935,6.363558769,6.364984989
86,-0.081324629,6.362649441,6.362960339
87,-0.081599146,6.363357067,6.361856461
88,-0.077929385,6.362472057,6.364113808
89,-0.078035168,6.362474918,6.361914158
90,-0.074904971,6.361497879,6.360281944
91,-0.07512515,6.358559132,6.360127449
92,-0.072892621,6.35995388,6.362560272
93,-0.074366748,6.359310627,6.361410618
94,-0.071914807,6.359037876,6.355858803
95,-0.069585584,6.357958794,6.355425358
96,-0.069836959,6.360059738,6.355910778
97,-0.065510221,6.357542515,6.353486538
98,-0.073149368,6.357077122,6.351014614
99,-0.073310964,6.357331276,6.355759144
