epochs,train_loss,train_cost,val_cost
0,-0.24691501259803772,7.325963973999023,6.865386486053467
1,0.3695981800556183,6.707436561584473,6.614633560180664
2,-0.14852328598499298,6.602725028991699,6.552123546600342
3,-0.17353013157844543,6.557650566101074,6.550118923187256
4,-0.06935738027095795,6.529197692871094,6.505300521850586
5,-0.1365206241607666,6.504810333251953,6.482706546783447
6,-0.14506591856479645,6.489327907562256,6.459448337554932
7,-0.15510904788970947,6.476305961608887,6.456101417541504
8,-0.14484408497810364,6.469233989715576,6.453911781311035
9,-0.11486878991127014,6.4580278396606445,6.446324825286865
10,-0.11620612442493439,6.451295852661133,6.444235324859619
11,-0.10194961726665497,6.443751335144043,6.439126968383789
12,-0.0971088856458664,6.438743591308594,6.426223278045654
13,-0.1089235320687294,6.434825420379639,6.4312896728515625
14,-0.09658719599246979,6.4272942543029785,6.415639400482178
15,-0.10928814858198166,6.422497272491455,6.423958778381348
16,-0.10181637853384018,6.420389175415039,6.427740573883057
17,-0.09277446568012238,6.417354583740234,6.41743278503418
18,-0.0858425721526146,6.413877487182617,6.40510368347168
19,-0.09863921254873276,6.407065391540527,6.400043964385986
20,-0.10777713358402252,6.4079108238220215,6.404598236083984
21,-0.10093757510185242,6.402650356292725,6.408139228820801
22,-0.09456280618906021,6.400544166564941,6.404386520385742
23,-0.0900026485323906,6.39995813369751,6.390305995941162
24,-0.08076783269643784,6.394908428192139,6.388941764831543
25,-0.09162941575050354,6.392253398895264,6.393918037414551
26,-0.08509432524442673,6.391697406768799,6.385285377502441
27,-0.08476532250642776,6.386754989624023,6.378872871398926
28,-0.09670215100049973,6.386651992797852,6.391765594482422
29,-0.09040547162294388,6.384122848510742,6.386955261230469
30,-0.0869617909193039,6.382984638214111,6.379326820373535
31,-0.08536988496780396,6.382619380950928,6.37729549407959
32,-0.08236750960350037,6.379523277282715,6.383190631866455
33,-0.08014620840549469,6.376918792724609,6.371406078338623
34,-0.08212050795555115,6.3748064041137695,6.376876354217529
35,-0.08037494122982025,6.374513626098633,6.372649192810059
36,-0.0758129134774208,6.372354984283447,6.365976333618164
37,-0.07721191644668579,6.3708977699279785,6.374236106872559
38,-0.0768195390701294,6.370405197143555,6.365616321563721
39,-0.07459017634391785,6.370081901550293,6.367141246795654
